iter	Logloss
0	0.6833200062
1	0.6739427016
2	0.6639682235
3	0.654812998
4	0.6477596305
5	0.6397102707
6	0.632672435
7	0.6247301706
8	0.6186421115
9	0.6103150027
10	0.6030454934
11	0.5965211097
12	0.5881457583
13	0.5807608169
14	0.574873184
15	0.5678693449
16	0.5611643404
17	0.5547602743
18	0.5493440358
19	0.5424131133
20	0.536864246
21	0.5318403029
22	0.526585887
23	0.5213584573
24	0.5159724786
25	0.5102175221
26	0.5058454717
27	0.5010014457
28	0.4974451318
29	0.4930568885
30	0.4874080684
31	0.4835285376
32	0.4789876803
33	0.4746311399
34	0.4712780308
35	0.4670426015
36	0.4636679372
37	0.4600562274
38	0.457672251
39	0.4542959022
40	0.451103647
41	0.4477680209
42	0.4452306398
43	0.4420220205
44	0.438191049
45	0.43478176
46	0.4311255076
47	0.4283756966
48	0.425293181
49	0.4229936997
50	0.4197652953
51	0.4176188934
52	0.4153705901
53	0.4120521742
54	0.4092373824
55	0.4068073469
56	0.4046225952
57	0.402858497
58	0.4012247106
59	0.3988257761
60	0.3964669977
61	0.3941115226
62	0.3920710552
63	0.3901204603
64	0.3880453945
65	0.3862319346
66	0.3842481836
67	0.3824914003
68	0.3804414153
69	0.3787263519
70	0.3769041259
71	0.3752959472
72	0.3736348393
73	0.37236241
74	0.3707952456
75	0.3691884048
76	0.3672616604
77	0.3655554701
78	0.3643438231
79	0.3628466674
80	0.3613484312
81	0.3598612581
82	0.3584897865
83	0.3570162571
84	0.3560555339
85	0.3547035012
86	0.3533527773
87	0.3518632173
88	0.3506737066
89	0.3498465923
90	0.3484139011
91	0.3472181666
92	0.346079919
93	0.3452279285
94	0.3444288152
95	0.3431831481
96	0.3424760048
97	0.3415318075
98	0.3403298227
99	0.3392932934
100	0.3383367482
101	0.337101891
102	0.3364222823
103	0.335794141
104	0.3344680761
105	0.3329842285
106	0.3317837687
107	0.3309654386
108	0.3302975678
109	0.3291270623
110	0.3284296576
111	0.3276618024
112	0.3269069296
113	0.3261381281
114	0.3254312017
115	0.3242848462
116	0.3232984762
117	0.3222830111
118	0.3213702919
119	0.3205273431
120	0.319656859
121	0.3188611441
122	0.318044149
123	0.317351478
124	0.3166797277
125	0.3158374084
126	0.3150703562
127	0.3138470318
128	0.3127369286
129	0.3118605658
130	0.3112655811
131	0.3105019937
132	0.3095790829
133	0.3088925738
134	0.308218002
135	0.3075165968
136	0.3067483332
137	0.3060658658
138	0.305369723
139	0.3047731066
140	0.3040025045
141	0.3031655329
142	0.3024018935
143	0.301754165
144	0.3011162127
145	0.3004894256
146	0.2996588266
147	0.2989558134
148	0.2982804102
149	0.297712958
150	0.2970054476
151	0.2963007065
152	0.2954434048
153	0.2947110986
154	0.2941614263
155	0.2934382062
156	0.2927088515
157	0.2920986273
158	0.2915436268
159	0.2909132162
160	0.2903837318
161	0.2898445408
162	0.2891587061
163	0.2885015642
164	0.2878363622
165	0.2872518398
166	0.2864762709
167	0.2857609788
168	0.2852582857
169	0.2846930763
170	0.2841050747
171	0.2833491581
172	0.2826764954
173	0.2820460997
174	0.2815690555
175	0.2808676665
176	0.2805122415
177	0.2799134397
178	0.2793280793
179	0.2786355841
180	0.278143723
181	0.2776011389
182	0.2769798459
183	0.2761885714
184	0.2756401889
185	0.2751957384
186	0.2748954357
187	0.2743343714
188	0.2738382523
189	0.2734884645
190	0.2729014953
191	0.2723069216
192	0.2720094568
193	0.2715034901
194	0.2706282802
195	0.2701298031
196	0.2696159943
197	0.2690623149
198	0.2686334938
199	0.2681224744
200	0.267585158
201	0.2671621049
202	0.2666110498
203	0.2662570723
204	0.2656956379
205	0.2653086295
206	0.2648252395
207	0.264245752
208	0.2637535959
209	0.2633608265
210	0.262883723
211	0.2623597864
212	0.2618342421
213	0.2613841341
214	0.2609476542
215	0.2605251491
216	0.2600683378
217	0.2596413239
218	0.2591020391
219	0.2586757875
220	0.2579623766
221	0.2575765533
222	0.2571756939
223	0.2567741059
224	0.2562452182
225	0.2558479941
226	0.2554434102
227	0.2549731865
228	0.2545659589
229	0.2540905917
230	0.2536181609
231	0.2532003133
232	0.2527037659
233	0.2524240367
234	0.2519927584
235	0.2515603161
236	0.2510113307
237	0.2507482715
238	0.2503534249
239	0.2500775614
240	0.2496439153
241	0.2492136247
242	0.248882135
243	0.2484120983
244	0.248191413
245	0.2477885079
246	0.2472389115
247	0.2467697995
248	0.246327777
249	0.2459823289
250	0.2457269449
251	0.2453572369
252	0.2449756464
253	0.2445016792
254	0.2440374736
255	0.2436838482
256	0.2432349747
257	0.2427534842
258	0.2424556879
259	0.2418942861
260	0.2412611378
261	0.2408461757
262	0.2404109654
263	0.2401150648
264	0.2396911334
265	0.2393756784
266	0.2390172641
267	0.2386321163
268	0.2383810519
269	0.2380254751
270	0.2377064968
271	0.2373393736
272	0.237052793
273	0.2367497119
274	0.2362369795
275	0.2359649218
276	0.2356053535
277	0.2353294699
278	0.2349852287
279	0.2346231743
280	0.2342232219
281	0.2337256575
282	0.2334211553
283	0.2329993123
284	0.2327554604
285	0.2324381276
286	0.2319437895
287	0.2315295674
288	0.2311114587
289	0.2305786612
290	0.2303654919
291	0.229986767
292	0.2296510034
293	0.2292018663
294	0.2288581835
295	0.2284904537
296	0.2279889216
297	0.2276177723
298	0.2272720532
299	0.2268926531
300	0.2264262481
301	0.2261204855
302	0.2256460545
303	0.225306792
304	0.2249050181
305	0.2245681911
306	0.2242637077
307	0.2240073749
308	0.2236761667
309	0.2233841579
310	0.2231552073
311	0.2229637881
312	0.2225705127
313	0.2222476994
314	0.2218566203
315	0.2214920791
316	0.2210985402
317	0.220706001
318	0.2204298764
319	0.22009691
320	0.219786543
321	0.2194268061
322	0.2190991704
323	0.2188224201
324	0.218379719
325	0.2181291809
326	0.2178384497
327	0.2175967642
328	0.2172658061
329	0.2167911597
330	0.2163841801
331	0.2161110372
332	0.215776769
333	0.2152996927
334	0.2151325566
335	0.2148091076
336	0.2145015279
337	0.2142559364
338	0.2138220003
339	0.2135860409
340	0.2132863381
341	0.2130298374
342	0.2128287032
343	0.212505418
344	0.212190888
345	0.2119489909
346	0.211601376
347	0.2113843503
348	0.2111293615
349	0.2107428472
350	0.2104949613
351	0.2102605251
352	0.2099765168
353	0.2096203629
354	0.2093380309
355	0.2088344129
356	0.2085167741
357	0.2081772979
358	0.2079237899
359	0.2076859535
360	0.2073892856
361	0.2071001908
362	0.2067808112
363	0.2065341582
364	0.2062895815
365	0.2060134807
366	0.2057702287
367	0.2054176824
368	0.2050086677
369	0.2046059196
370	0.2041924152
371	0.2038583113
372	0.2035251054
373	0.2032190486
374	0.2028714631
375	0.2026294013
376	0.2024002779
377	0.2021416645
378	0.2019724279
379	0.2015900484
380	0.2013860317
381	0.2010663057
382	0.200711563
383	0.2004632735
384	0.2001370273
385	0.1998093392
386	0.1994518986
387	0.1991649117
388	0.1989676695
389	0.1987937992
390	0.1985333125
391	0.1982113082
392	0.1979989305
393	0.1977819603
394	0.1974841731
395	0.1972032248
396	0.1969092336
397	0.1966674146
398	0.1962748469
399	0.19603346
400	0.1957573125
401	0.1954954245
402	0.195290116
403	0.1949573292
404	0.1947316588
405	0.1944223973
406	0.1940706857
407	0.1937764686
408	0.1935269967
409	0.1933333899
410	0.1929846604
411	0.1926891847
412	0.1924013181
413	0.1920555261
414	0.1917954602
415	0.1915591303
416	0.1913250566
417	0.1911215576
418	0.1908609005
419	0.1906497032
420	0.190397988
421	0.1901286988
422	0.1898263699
423	0.1895407217
424	0.189313457
425	0.1891000429
426	0.1889105655
427	0.18861132
428	0.188399403
429	0.188207073
430	0.1879118772
431	0.1876554756
432	0.1874603334
433	0.1872418775
434	0.1870054071
435	0.1866882561
436	0.186473885
437	0.1862184112
438	0.1859845087
439	0.1857658663
440	0.1854883653
441	0.1852016967
442	0.1850224538
443	0.1847374201
444	0.184463179
445	0.1842114572
446	0.1838596689
447	0.1836252549
448	0.1834536469
449	0.1832465879
450	0.1829304082
451	0.1826061081
452	0.1823022595
453	0.1820299695
454	0.181828023
455	0.1815656073
456	0.1813834933
457	0.1811913265
458	0.1809319999
459	0.1806902245
460	0.1804383117
461	0.1800990781
462	0.179847335
463	0.1795676025
464	0.1793454323
465	0.179129413
466	0.1789476339
467	0.1786386444
468	0.178462102
469	0.1782601903
470	0.1780437637
471	0.1777852174
472	0.1775548784
473	0.1773718827
474	0.1771465429
475	0.176898561
476	0.1766922933
477	0.1764482667
478	0.1762077875
479	0.1758285242
480	0.1756688496
481	0.1754030072
482	0.1750635978
483	0.1748799492
484	0.1746071465
485	0.174411563
486	0.1740776027
487	0.173849033
488	0.1736582026
489	0.1733091572
490	0.1730720624
491	0.1727842892
492	0.1725620114
493	0.1723506705
494	0.1719598288
495	0.171728542
496	0.1714192527
497	0.1711843339
498	0.1710241395
499	0.1707386565
500	0.1704679135
501	0.1702981472
502	0.170175571
503	0.169946142
504	0.1696204618
505	0.1694014688
506	0.1691186924
507	0.1689202982
508	0.1687469774
509	0.1685191369
510	0.1681990792
511	0.1679258055
512	0.1677395157
513	0.1674406036
514	0.167194309
515	0.1669862978
516	0.166761312
517	0.1665136964
518	0.1663469747
519	0.1660578024
520	0.1658673761
521	0.1656133186
522	0.1654072034
523	0.1651529041
524	0.1649228011
525	0.1646827462
526	0.1644288656
527	0.1641884861
528	0.163906162
529	0.1637264534
530	0.1635364876
531	0.1633061523
532	0.1629584591
533	0.1626231937
534	0.1623811299
535	0.1620837282
536	0.1618220722
537	0.1616376614
538	0.1614664292
539	0.1612365789
540	0.1609485683
541	0.1606700783
542	0.1603738639
543	0.1600605328
544	0.1597262363
545	0.1594923769
546	0.1592739114
547	0.1591094599
548	0.1588360685
549	0.1585492731
550	0.1583740075
551	0.1580783317
552	0.1579011162
553	0.15761305
554	0.1574181958
555	0.1571618677
556	0.1570052829
557	0.1568228422
558	0.1566525513
559	0.1564341823
560	0.1561987077
561	0.1560221911
562	0.1558067433
563	0.1555869473
564	0.1553989586
565	0.1550889537
566	0.1548737441
567	0.1546942284
568	0.1544681231
569	0.1542319718
570	0.1540210814
571	0.1538569311
572	0.1536424443
573	0.1534661792
574	0.1531854089
575	0.1529861102
576	0.1527585814
577	0.1525656314
578	0.15231923
579	0.1520709431
580	0.1518260343
581	0.1514817538
582	0.1512573816
583	0.1509372565
584	0.1507465231
585	0.1505273491
586	0.150327957
587	0.1501445694
588	0.1498915714
589	0.1497325754
590	0.1495581723
591	0.1492783682
592	0.1490894913
593	0.1489138832
594	0.14869448
595	0.148491219
596	0.1483283053
597	0.148137482
598	0.1479927428
599	0.1477039468
600	0.1474136178
601	0.1471855135
602	0.1469089264
603	0.146593061
604	0.1464297059
605	0.1461623876
606	0.1460398058
607	0.1458150709
608	0.1456563197
609	0.1453655092
610	0.1451438572
611	0.144968552
612	0.1446580437
613	0.1444352913
614	0.1442845546
615	0.1441357816
616	0.1439154951
617	0.1437084441
618	0.1434605086
619	0.1432399062
620	0.1430500614
621	0.1427531989
622	0.1424966736
623	0.1422587785
624	0.1420298209
625	0.1418368468
626	0.1416368
627	0.1414802235
628	0.1412170121
629	0.140976457
630	0.1407537682
631	0.1405684085
632	0.1403414485
633	0.1401715359
634	0.1398816867
635	0.1396468336
636	0.1394440082
637	0.1392979898
638	0.1390105709
639	0.13879305
640	0.1386193558
641	0.1384168284
642	0.1382418867
643	0.1380222992
644	0.1377179086
645	0.1375197882
646	0.1373153294
647	0.1371385595
648	0.1368897113
649	0.136767204
650	0.1365594981
651	0.1362835156
652	0.1361293328
653	0.1359972272
654	0.1358199167
655	0.1356510676
656	0.135508211
657	0.1353589011
658	0.1351286714
659	0.1349049756
660	0.1346436524
661	0.1345177781
662	0.1343191733
663	0.1341467855
664	0.134005641
665	0.1337925003
666	0.1334163361
667	0.1331994232
668	0.1329669954
669	0.1327047835
670	0.1325630263
671	0.1323053637
672	0.132101546
673	0.1318545009
674	0.1316275584
675	0.1314553282
676	0.1312476566
677	0.1311148013
678	0.1308995009
679	0.1307787604
680	0.1305435661
681	0.1302962782
682	0.1300735494
683	0.129891372
684	0.129681946
685	0.1295154674
686	0.1293616951
687	0.1291138778
688	0.1289042817
689	0.1286851569
690	0.1284840214
691	0.1282554183
692	0.128120127
693	0.1279858993
694	0.1278103004
695	0.1276235639
696	0.1274940863
697	0.1272737062
698	0.1271145648
699	0.1269535969
700	0.1267516504
701	0.1264705598
702	0.1261869403
703	0.1260058712
704	0.1257907885
705	0.1256091058
706	0.1253725697
707	0.1251852276
708	0.124976313
709	0.1247684792
710	0.1245823635
711	0.1243976205
712	0.1242286622
713	0.1240564427
714	0.1238689605
715	0.1236626208
716	0.123477813
717	0.1232983137
718	0.1231848444
719	0.1230678936
720	0.1227996916
721	0.1226450974
722	0.1225205525
723	0.1222376903
724	0.1219693076
725	0.1218163529
726	0.1216115573
727	0.1214161304
728	0.1211463381
729	0.1209416824
730	0.1208022929
731	0.1206640606
732	0.1204960296
733	0.1203373755
734	0.1201325469
735	0.1198484079
736	0.1197283274
737	0.1195931614
738	0.119394682
739	0.1191987158
740	0.1190263413
741	0.1188574593
742	0.1187142296
743	0.118577339
744	0.1184096502
745	0.1182863948
746	0.1180783129
747	0.1178647249
748	0.1177302995
749	0.1175513347
750	0.1174219953
751	0.1172831183
752	0.1171340873
753	0.1169792788
754	0.1168350684
755	0.116655148
756	0.1164963483
757	0.116350466
758	0.1161886441
759	0.1159742231
760	0.1158061079
761	0.1156644179
762	0.115499841
763	0.1153532194
764	0.1152075297
765	0.1150805023
766	0.1149084185
767	0.1147159324
768	0.1145684309
769	0.1143796664
770	0.1141647266
771	0.1139521019
