iter	Passed	Remaining
0	1	1355
1	2	1296
2	4	1383
3	5	1338
4	6	1346
5	8	1342
6	9	1328
7	10	1346
8	12	1344
9	13	1365
10	15	1366
11	16	1365
12	17	1359
13	19	1358
14	20	1358
15	22	1362
16	23	1362
17	24	1358
18	26	1360
19	27	1357
20	28	1351
21	30	1345
22	31	1346
23	33	1343
24	34	1337
25	35	1336
26	37	1336
27	38	1332
28	39	1329
29	41	1328
30	42	1335
31	44	1333
32	45	1333
33	46	1333
34	48	1331
35	49	1331
36	51	1339
37	52	1338
38	54	1333
39	55	1330
40	56	1329
41	58	1328
42	59	1328
43	61	1330
44	62	1328
45	63	1327
46	65	1324
47	66	1323
48	68	1321
49	69	1320
50	71	1321
51	72	1319
52	73	1318
53	75	1319
54	76	1317
55	78	1315
56	79	1314
57	80	1311
58	82	1310
59	83	1308
60	84	1305
61	86	1307
62	87	1304
63	89	1304
64	91	1313
65	92	1312
66	94	1310
67	95	1308
68	96	1306
69	98	1305
70	99	1304
71	101	1302
72	102	1300
73	103	1298
74	105	1296
75	106	1295
76	107	1294
77	109	1298
78	111	1297
79	112	1294
80	113	1292
81	115	1292
82	117	1292
83	118	1292
84	119	1290
85	121	1288
86	122	1290
87	124	1292
88	126	1290
89	127	1289
90	128	1288
91	130	1287
92	131	1284
93	133	1283
94	134	1281
95	135	1279
96	137	1282
97	139	1280
98	140	1278
99	141	1276
100	143	1275
101	144	1272
102	145	1270
103	147	1270
104	148	1269
105	150	1266
106	151	1265
107	152	1263
108	154	1261
109	155	1259
110	157	1257
111	158	1258
112	159	1255
113	161	1253
114	162	1253
115	164	1251
116	165	1249
117	166	1247
118	168	1246
119	169	1244
120	171	1243
121	172	1242
122	174	1241
123	175	1239
124	176	1237
125	178	1235
126	179	1233
127	180	1231
128	182	1229
129	183	1228
130	185	1227
131	186	1225
132	187	1225
133	189	1223
134	190	1221
135	192	1219
136	193	1217
137	194	1215
138	196	1214
139	197	1212
140	198	1211
141	200	1209
142	201	1207
143	202	1205
144	204	1203
145	205	1202
146	206	1200
147	208	1198
148	209	1197
149	211	1196
150	212	1195
151	214	1194
152	215	1193
153	216	1191
154	218	1190
155	220	1190
156	221	1188
157	222	1187
158	224	1185
159	225	1183
160	226	1182
161	228	1180
162	229	1178
163	230	1176
164	232	1175
165	233	1173
166	235	1172
167	236	1170
168	237	1170
169	239	1168
170	240	1166
171	241	1164
172	243	1163
173	244	1161
174	246	1159
175	247	1158
176	248	1156
177	250	1155
178	251	1153
179	252	1151
180	254	1149
181	255	1148
182	257	1151
183	259	1150
184	260	1148
185	262	1147
186	263	1145
187	264	1144
188	266	1142
189	267	1141
190	269	1139
191	270	1137
192	271	1136
193	272	1134
194	274	1132
195	275	1131
196	277	1130
197	278	1128
198	280	1127
199	281	1125
200	282	1124
201	284	1123
202	285	1121
203	287	1120
204	288	1118
205	289	1117
206	291	1115
207	292	1114
208	294	1113
209	295	1111
210	296	1110
211	298	1108
212	299	1107
213	301	1105
214	302	1103
215	303	1102
216	305	1100
217	306	1098
218	307	1097
219	309	1095
220	310	1094
221	311	1092
222	313	1090
223	314	1089
224	315	1087
225	317	1085
226	318	1084
227	319	1083
228	321	1081
229	322	1080
230	324	1078
231	325	1077
232	326	1076
233	328	1074
234	329	1073
235	330	1071
236	332	1069
237	333	1068
238	334	1066
239	336	1065
240	337	1063
241	339	1061
242	340	1060
243	341	1059
244	343	1058
245	344	1056
246	346	1055
247	347	1053
248	348	1052
249	350	1051
250	351	1049
251	353	1048
252	354	1047
253	355	1045
254	357	1043
255	358	1042
256	359	1040
257	361	1038
258	362	1037
259	363	1035
260	365	1033
261	366	1032
262	367	1030
263	369	1029
264	370	1027
265	371	1026
266	373	1025
267	374	1023
268	376	1022
269	377	1020
270	378	1019
271	380	1017
272	381	1016
273	383	1015
274	384	1013
275	385	1012
276	387	1010
277	388	1008
278	389	1007
279	391	1006
280	392	1004
281	394	1003
282	395	1001
283	396	1000
284	398	999
285	399	998
286	401	996
287	403	997
288	405	997
289	406	995
290	408	994
291	409	992
292	410	991
293	412	989
294	413	988
295	414	986
296	416	985
297	417	983
298	419	983
299	420	982
300	422	981
301	423	979
302	425	978
303	426	977
304	428	975
305	429	974
306	431	973
307	432	971
308	433	970
309	435	968
310	436	967
311	437	965
312	439	964
313	440	963
314	442	961
315	443	960
316	445	958
317	446	957
318	447	956
319	449	954
320	450	952
321	451	951
322	453	950
323	454	948
324	456	947
325	457	946
326	459	944
327	460	943
328	462	942
329	463	941
330	465	939
331	466	938
332	467	936
333	469	936
334	471	935
335	472	933
336	473	932
337	475	931
338	476	929
339	478	928
340	479	926
341	481	925
342	482	923
343	483	922
344	485	921
345	487	920
346	488	919
347	489	917
348	491	916
349	492	914
350	493	913
351	495	911
352	496	910
353	498	908
354	499	907
355	500	906
356	502	904
357	503	902
358	505	902
359	506	901
360	508	899
361	509	898
362	511	896
363	512	895
364	514	894
365	515	893
366	517	892
367	518	890
368	519	889
369	521	887
370	522	886
371	524	884
372	525	883
373	526	881
374	528	880
375	529	878
376	530	877
377	532	875
378	533	873
379	534	872
380	536	871
381	537	869
382	538	868
383	540	866
384	541	865
385	543	863
386	544	862
387	545	860
388	547	859
389	548	857
390	549	856
391	551	854
392	552	853
393	553	851
394	555	850
395	556	849
396	557	847
397	559	845
398	560	844
399	562	843
400	563	841
401	564	839
402	566	838
403	567	837
404	568	835
405	570	834
406	571	832
407	573	831
408	574	829
409	575	828
410	577	827
411	579	826
412	580	824
413	581	823
414	583	822
415	584	821
416	586	819
417	587	818
418	588	816
419	590	815
420	591	813
421	593	812
422	594	811
423	596	809
424	597	808
425	599	807
426	600	805
427	601	804
428	602	802
429	604	801
430	605	799
431	607	798
432	608	797
433	610	795
434	611	794
435	612	792
436	614	791
437	615	790
438	617	788
439	618	787
440	620	785
441	621	784
442	622	782
443	624	781
444	625	780
445	627	779
446	628	778
447	630	776
448	631	775
449	633	773
450	634	772
451	636	771
452	637	769
453	638	768
454	640	766
455	641	765
456	642	763
457	644	762
458	645	761
459	647	759
460	648	758
461	649	756
462	651	755
463	652	753
464	653	752
465	655	750
466	656	749
467	657	747
468	659	746
469	660	745
470	662	743
471	663	742
472	664	740
473	666	739
474	667	737
475	669	736
476	670	735
477	671	733
478	673	732
479	674	730
480	676	729
481	677	728
482	678	726
483	680	725
484	681	723
485	683	722
486	684	721
487	685	719
488	687	718
489	689	717
490	690	715
491	691	714
492	692	712
493	694	711
494	695	709
495	696	708
496	698	706
497	699	705
498	702	704
499	703	703
500	705	702
501	706	700
502	707	699
503	709	698
504	710	696
505	712	695
506	713	693
507	714	692
508	716	690
509	717	689
510	718	687
511	720	686
512	721	685
513	722	683
514	724	682
515	725	680
516	727	679
517	729	678
518	730	677
519	732	675
520	733	674
521	734	672
522	736	671
523	737	669
524	738	668
525	740	667
526	741	665
527	743	664
528	744	662
529	745	661
530	747	659
531	748	658
532	749	657
533	751	655
534	752	654
535	753	652
536	755	651
537	756	649
538	757	648
539	759	646
540	760	645
541	761	643
542	763	642
543	765	641
544	766	639
545	767	638
546	769	636
547	770	635
548	772	634
549	773	633
550	775	631
551	776	630
552	777	628
553	779	627
554	780	625
555	781	624
556	783	622
557	784	621
558	785	620
559	787	618
560	788	617
561	790	615
562	791	614
563	793	613
564	794	611
565	795	610
566	797	608
567	798	607
568	799	605
569	801	604
570	802	603
571	804	601
572	805	600
573	806	598
574	808	597
575	809	595
576	810	594
577	811	592
578	813	591
579	815	590
580	817	589
581	818	587
582	819	586
583	821	584
584	822	583
585	823	582
586	825	580
587	826	579
588	828	577
589	829	576
590	831	575
591	832	573
592	833	572
593	835	570
594	836	569
595	838	568
596	839	566
597	840	565
598	842	563
599	843	562
600	844	560
601	846	559
602	847	558
603	849	556
604	850	555
605	851	553
606	853	552
607	854	551
608	856	549
609	857	548
610	859	547
611	860	545
612	861	544
613	863	542
614	864	541
615	865	539
616	867	538
617	868	536
618	869	535
619	871	533
620	872	532
621	874	531
622	875	529
623	876	528
624	878	526
625	879	525
626	880	523
627	882	522
628	883	521
629	884	519
630	886	518
631	887	516
632	889	515
633	890	513
634	891	512
635	892	511
636	894	509
637	895	508
638	897	506
639	898	505
640	899	503
641	900	502
642	902	500
643	903	499
644	905	498
645	906	496
646	907	495
647	909	493
648	910	492
649	911	490
650	913	489
651	914	488
652	915	486
653	917	485
654	918	483
655	920	482
656	921	481
657	922	479
658	924	478
659	925	476
660	926	475
661	928	473
662	929	472
663	931	471
664	932	469
665	933	468
666	935	466
667	936	465
668	938	464
669	939	462
670	940	461
671	942	459
672	943	458
673	945	457
674	946	455
675	948	454
676	949	453
677	950	451
678	952	450
679	953	448
680	954	447
681	956	445
682	957	444
683	959	443
684	960	441
685	962	440
686	963	439
687	965	437
688	966	436
689	968	434
690	969	433
691	970	432
692	972	430
693	973	429
694	974	427
695	976	426
696	977	424
697	979	423
698	980	422
699	981	420
700	983	419
701	984	417
702	985	416
703	987	415
704	988	413
705	990	412
706	991	410
707	993	409
